desire,Metrics,RF,MLP,XG,GL
Eat,KLD,0.09,0.6,0.19,0.02
Eat,MAPE,10.79,14.96,15.19,5.55
Shop,KLD,0.05,0.05,0.15,0.02
Shop,MAPE,7.04,6.97,10.08,5.15
Recreation,KLD,0.25,0.8,0.32,0.03
Recreation,MAPE,11.74,16.15,15.34,6.96
