source,target,type
Desire_1.3388054528052666e+19_Eat,Internsion_4.688703030404423e+17,go_to
Desire_9.473037562591132e+18_Eat,Internsion_1.25407323949801e+19,go_to
Desire_7.964279790178612e+17_Eat,Internsion_2.554627297380749e+18,go_to
Desire_1.7184887631842111e+19_Eat,Internsion_1.17618943032153e+19,go_to
Desire_8.495548297744896e+16_Eat,Internsion_5.772688001165594e+18,go_to
Desire_1.420231534102627e+19_Eat,Internsion_7.037361505150782e+18,go_to
Desire_1.632558206546652e+19_Eat,Internsion_1.325215825317479e+19,go_to
Desire_1.480062425248657e+19_Eat,Internsion_1.790751188140074e+19,go_to
Desire_1.169205523198298e+19_Eat,Internsion_1.601760177548449e+19,go_to
Desire_1.790397594685099e+19_Eat,Internsion_1.310233251634326e+19,go_to
Desire_1.3786326213215148e+19_Eat,Internsion_1.410278024729503e+19,go_to
Desire_1.1249835490241788e+19_Eat,Internsion_5.8923630436343e+18,go_to
Desire_7.852472024856084e+18_Eat,Internsion_1.7824798542887494e+19,go_to
Desire_1.5198245898938288e+19_Eat,Internsion_5.004210981893446e+18,go_to
Desire_7.679642182284249e+18_Eat,Internsion_1.8257238925461123e+19,go_to
Desire_3.5407627448456264e+18_Eat,Internsion_1.302172572921485e+19,go_to
Desire_1.6994516902492043e+19_Eat,Internsion_3.8342569056946063e+18,go_to
Desire_3.38728793076682e+18_Eat,Internsion_1.9809658191319366e+17,go_to
Desire_1.4154198862624342e+19_Eat,Internsion_1.529837491361793e+19,go_to
Desire_1.0546680105945491e+19_Eat,Internsion_1.6253745132167334e+19,go_to
Desire_6.559050120976148e+17_Eat,Internsion_8.274405270302744e+18,go_to
Desire_3.2195502414539745e+18_Eat,Internsion_1.4730948284098111e+19,go_to
Desire_8.614657759728568e+17_Eat,Internsion_2.30251788740043e+18,go_to
Desire_2.5758891548993065e+18_Eat,Internsion_9.517822763485674e+17,go_to
Desire_9.602495481937508e+18_Eat,Internsion_8.16255028982588e+18,go_to
Desire_1.1294439450512085e+19_Eat,Internsion_1.0740292605067751e+19,go_to
Desire_1.4696821602560092e+19_Eat,Internsion_1.0006825251754127e+19,go_to
Desire_4.716224896610476e+18_Eat,Internsion_1.7954271355593144e+19,go_to
Desire_8.038733430529334e+18_Eat,Internsion_7.917641250638283e+18,go_to
Desire_9.576423897848136e+18_Eat,Internsion_1.7180910361745848e+19,go_to
