source,target,type
Desire_1.5454179178424496e+19_Eat,Internsion_1.6755397700834248e+18,go_to
Desire_4.2747387929120256e+17_Errands,Internsion_1.140195199068406e+19,go_to
Desire_1.4740232497404672e+19_Eat,Internsion_6.177334856269138e+18,go_to
Desire_1.4403995405459108e+19_Recreation,Internsion_1.1006174730948418e+19,go_to
Desire_1.208845667961916e+19_Shop,Internsion_1.908755307427129e+18,go_to
Desire_5.41129307265518e+18_Shop,Internsion_7.243732443823458e+16,go_to
Desire_1.0133671356635896e+19_Eat,Internsion_4.4747342782804e+17,go_to
Desire_1.69293525929615e+19_Shop,Internsion_6.733576996407682e+18,go_to
Desire_2.4606057464208845e+18_Recreation,Internsion_1.2427721822375424e+18,go_to
Desire_1.609831736707981e+19_Eat,Internsion_1.4228546240017334e+19,go_to
Desire_1.0290275950066264e+19_Eat,Internsion_7.510801028452733e+18,go_to
Desire_4.607273830706455e+18_Shop,Internsion_7.962333607749409e+17,go_to
Desire_3.2841931220536776e+18_Shop,Internsion_7.972872445385886e+18,go_to
Desire_9.653345123266253e+18_Recreation,Internsion_1.5837047641459198e+19,go_to
Desire_6.634131282441313e+17_Shop,Internsion_1.1992845041782931e+19,go_to
Desire_1.5479920568582528e+18_Recreation,Internsion_1.120744509837092e+19,go_to
Desire_1.2899604065349563e+18_Shop,Internsion_7.098839862307065e+18,go_to
Desire_3.924244637765218e+18_Eat,Internsion_1.400630513072693e+19,go_to
Desire_7.020075904508951e+18_Recreation,Internsion_2.7817918535237875e+17,go_to
Desire_1.413796906731422e+19_Errands,Internsion_1.679488392162655e+19,go_to
Desire_1.0553683590340026e+19_Errands,Internsion_1.1267896290231077e+19,go_to
Desire_1.4745117651548807e+19_Eat,Internsion_4.5568638096431457e+18,go_to
Desire_1.6081067727313678e+19_Recreation,Internsion_1.1581857322166874e+19,go_to
Desire_1.5970483692108474e+19_Shop,Internsion_1.2480397027172311e+19,go_to
Desire_7.987313088284036e+18_Eat,Internsion_1.7115422279922227e+19,go_to
Desire_3.145828470374291e+18_Shop,Internsion_4.479727379571005e+18,go_to
Desire_1.1589135015832828e+19_Shop,Internsion_1.7014728993600643e+19,go_to
Desire_8.245917085904045e+18_Shop,Internsion_6.948640713517409e+18,go_to
Desire_2.526453435318128e+18_Errands,Internsion_4.21056635490862e+18,go_to
Desire_2.761999862810969e+18_Eat,Internsion_2.277377299918518e+18,go_to
Desire_2.4823091468636483e+18_Shop,Internsion_8.820120316774263e+18,go_to
Desire_1.6167971072488088e+19_Errands,Internsion_9.851385225055248e+18,go_to
Desire_1.0742300057858611e+19_School,Internsion_1.6346531363115995e+19,go_to
Desire_6.028048422074018e+18_Shop,Internsion_1.235073641191343e+18,go_to
Desire_1.3638007437656762e+19_Eat,Internsion_8.861934515269912e+18,go_to
Desire_6.089876816686373e+18_Eat,Internsion_5.322260808344751e+18,go_to
Desire_5.72696111255003e+18_Eat,Internsion_4.2834195754684206e+18,go_to
Desire_2.6239099567055155e+18_Errands,Internsion_1.2209716785843642e+19,go_to
Desire_1.2675860501333885e+19_Recreation,Internsion_1.6248688834575458e+19,go_to
Desire_2.641154609341569e+18_Shop,Internsion_1.4206871507651123e+19,go_to
Desire_1.1053492097583968e+19_School,Internsion_2.922651084142765e+18,go_to
Desire_8.152831461701068e+18_Shop,Internsion_7.11945022278136e+18,go_to
Desire_1.5290866003409764e+19_Shop,Internsion_1.4804137354006231e+19,go_to
Desire_6.067705709269845e+18_Errands,Internsion_1.724008839591813e+19,go_to
Desire_9.853805892330131e+18_Eat,Internsion_7.320923332513549e+18,go_to
Desire_5.466848732032353e+18_Recreation,Internsion_1.0867650538890303e+19,go_to
Desire_5.144039827634586e+18_Eat,Internsion_1.5755902718620787e+18,go_to
Desire_9.127307500399734e+18_Shop,Internsion_1.3495328101724043e+19,go_to
Desire_7.492082621696762e+18_Other,Internsion_1.5741496238836562e+19,go_to
Desire_1.4213593359902308e+19_Other,Internsion_3.6134216352700754e+18,go_to
Desire_1.1382766689615403e+19_Eat,Internsion_6.164033725480665e+18,go_to
Desire_9.269974523336714e+18_Shop,Internsion_5.874039379717863e+18,go_to
Desire_1.2935987586602449e+19_Eat,Internsion_1.700855242612415e+19,go_to
Desire_6.591370053444356e+18_Shop,Internsion_6.309036876052037e+18,go_to
Desire_1.5679480203241796e+19_Shop,Internsion_1.641271426672575e+19,go_to
Desire_1.250638459476621e+19_Eat,Internsion_1.314676654302143e+19,go_to
Desire_5.749553361659547e+18_Shop,Internsion_7.697099276497773e+18,go_to
Desire_1.255081492635327e+19_Eat,Internsion_7.434057376399107e+18,go_to
Desire_1.776041642877362e+19_Errands,Internsion_4.530577048606208e+18,go_to
Desire_3.6879203884944886e+18_Eat,Internsion_2.822847187563892e+18,go_to
Desire_1.0042779863523529e+19_Eat,Internsion_1.154099531275889e+19,go_to
Desire_2.320230294610451e+18_Shop,Internsion_5.961721745802298e+18,go_to
Desire_1.4523926379001434e+18_Errands,Internsion_1.0009895484023988e+19,go_to
Desire_3.1260396308750643e+18_Shop,Internsion_8.001752929180944e+18,go_to
Desire_1.5663972210261582e+19_Errands,Internsion_1.404878243999786e+19,go_to
Desire_1.3130927318655089e+19_School,Internsion_7.107391397094828e+18,go_to
Desire_1.5621741157525166e+19_Shop,Internsion_3.61712821422202e+18,go_to
Desire_7.002558450787813e+18_Shop,Internsion_2.736852239268202e+18,go_to
Desire_4.552508868169424e+18_Eat,Internsion_6.267235986184992e+18,go_to
Desire_1.56195999208817e+18_Eat,Internsion_1.3742075804375566e+19,go_to
Desire_8.440089706747276e+17_Shop,Internsion_3.588109723085295e+18,go_to
