source,target,type
Person_3.042898279713684e+18,Desire_3.042898279713684e+18_Shop,want_to
Person_1.586876555727136e+19,Desire_1.586876555727136e+19_School,want_to
Person_1.1576579517790798e+19,Desire_1.1576579517790798e+19_School,want_to
Person_8.406536686754593e+18,Desire_8.406536686754593e+18_Shop,want_to
Person_1.1156174530945843e+19,Desire_1.1156174530945843e+19_Recreation,want_to
Person_3.788140392910308e+18,Desire_3.788140392910308e+18_Eat,want_to
Person_9.57884249095133e+17,Desire_9.57884249095133e+17_Eat,want_to
Person_1.6399479785059631e+19,Desire_1.6399479785059631e+19_Eat,want_to
Person_1.9332840807747663e+18,Desire_1.9332840807747663e+18_Eat,want_to
Person_3.5367466730231634e+18,Desire_3.5367466730231634e+18_Eat,want_to
Person_1.1264717060570833e+19,Desire_1.1264717060570833e+19_Shop,want_to
Person_1.0764315543703308e+19,Desire_1.0764315543703308e+19_Recreation,want_to
Person_9.51623562795022e+18,Desire_9.51623562795022e+18_Shop,want_to
Person_1.613628521833393e+18,Desire_1.613628521833393e+18_Errands,want_to
Person_2.448535250358194e+17,Desire_2.448535250358194e+17_Recreation,want_to
Person_1.5013334280448176e+19,Desire_1.5013334280448176e+19_Shop,want_to
Person_1.5097421240128915e+19,Desire_1.5097421240128915e+19_Errands,want_to
Person_1.6758875072511873e+19,Desire_1.6758875072511873e+19_Eat,want_to
Person_1.3015029163221018e+18,Desire_1.3015029163221018e+18_Shop,want_to
Person_5.135436199063312e+18,Desire_5.135436199063312e+18_Recreation,want_to
Person_1.6696286622168232e+19,Desire_1.6696286622168232e+19_Shop,want_to
Person_8.087995398757763e+17,Desire_8.087995398757763e+17_Recreation,want_to
Person_1.2019450705076388e+19,Desire_1.2019450705076388e+19_Shop,want_to
Person_5.753821105578652e+18,Desire_5.753821105578652e+18_Errands,want_to
Person_6.976086373915017e+18,Desire_6.976086373915017e+18_Eat,want_to
Person_1.0152857555130687e+19,Desire_1.0152857555130687e+19_Shop,want_to
Person_1.2244273262536088e+19,Desire_1.2244273262536088e+19_Eat,want_to
Person_9.550515739709802e+18,Desire_9.550515739709802e+18_Recreation,want_to
Person_2.3419822548414064e+16,Desire_2.3419822548414064e+16_Eat,want_to
Person_1.2120890043478491e+19,Desire_1.2120890043478491e+19_Eat,want_to
Person_1.5824490855283251e+19,Desire_1.5824490855283251e+19_Recreation,want_to
Person_7.646931215736285e+18,Desire_7.646931215736285e+18_Eat,want_to
Person_7.409833674404891e+17,Desire_7.409833674404891e+17_Shop,want_to
Person_3.143424673927809e+17,Desire_3.143424673927809e+17_Eat,want_to
Person_5.346498065269284e+18,Desire_5.346498065269284e+18_Shop,want_to
Person_1.3440014668275544e+19,Desire_1.3440014668275544e+19_Errands,want_to
Person_1.6727979377688314e+19,Desire_1.6727979377688314e+19_Eat,want_to
Person_5.759416724449921e+18,Desire_5.759416724449921e+18_School,want_to
Person_1.3305947277325978e+19,Desire_1.3305947277325978e+19_Shop,want_to
Person_1.6618118215645612e+19,Desire_1.6618118215645612e+19_Shop,want_to
Person_2.9109937447638e+18,Desire_2.9109937447638e+18_Eat,want_to
Person_7.382229231725216e+18,Desire_7.382229231725216e+18_Shop,want_to
Person_2.703480938157533e+18,Desire_2.703480938157533e+18_Errands,want_to
Person_2.8547987841141105e+18,Desire_2.8547987841141105e+18_Recreation,want_to
Person_1.733622189327774e+19,Desire_1.733622189327774e+19_Shop,want_to
Person_1.2755562908315562e+19,Desire_1.2755562908315562e+19_Errands,want_to
Person_1.0048722183318026e+19,Desire_1.0048722183318026e+19_Shop,want_to
Person_1.838787093401515e+19,Desire_1.838787093401515e+19_Recreation,want_to
Person_1.1389131347311313e+19,Desire_1.1389131347311313e+19_Recreation,want_to
Person_7.937415820294495e+18,Desire_7.937415820294495e+18_Eat,want_to
Person_4.3122660171462415e+18,Desire_4.3122660171462415e+18_Eat,want_to
Person_4.14447735413175e+18,Desire_4.14447735413175e+18_Eat,want_to
Person_6.53540663521365e+18,Desire_6.53540663521365e+18_Other,want_to
Person_5.4417170967428864e+17,Desire_5.4417170967428864e+17_Recreation,want_to
Person_1.169383651805675e+19,Desire_1.169383651805675e+19_Errands,want_to
Person_9.86855430277569e+18,Desire_9.86855430277569e+18_Eat,want_to
Person_1.213683572580063e+19,Desire_1.213683572580063e+19_Shop,want_to
Person_1.1034514087390897e+18,Desire_1.1034514087390897e+18_Recreation,want_to
Person_7.474270263983382e+17,Desire_7.474270263983382e+17_Eat,want_to
Person_6.734018293969027e+18,Desire_6.734018293969027e+18_Shop,want_to
Person_8.717109161891187e+17,Desire_8.717109161891187e+17_Recreation,want_to
Person_1.6416438325324843e+19,Desire_1.6416438325324843e+19_Eat,want_to
Person_6.780364553927163e+18,Desire_6.780364553927163e+18_Shop,want_to
Person_6.630649682305337e+18,Desire_6.630649682305337e+18_Shop,want_to
Person_1.0967230750168068e+19,Desire_1.0967230750168068e+19_School,want_to
Person_1.3970223714876336e+19,Desire_1.3970223714876336e+19_Shop,want_to
Person_3.0285738036378813e+18,Desire_3.0285738036378813e+18_Shop,want_to
Person_2.3544424844647987e+18,Desire_2.3544424844647987e+18_Errands,want_to
Person_1.1464648913238438e+18,Desire_1.1464648913238438e+18_Eat,want_to
Person_1.334914825820808e+19,Desire_1.334914825820808e+19_Recreation,want_to
Person_6.398164561225462e+18,Desire_6.398164561225462e+18_Errands,want_to
Person_1.6187987903256668e+19,Desire_1.6187987903256668e+19_Recreation,want_to
Person_2.115326384001876e+18,Desire_2.115326384001876e+18_Recreation,want_to
Person_1.4677273323967152e+19,Desire_1.4677273323967152e+19_Eat,want_to
Person_6.663277048475791e+18,Desire_6.663277048475791e+18_Shop,want_to
Person_1.4478627621185362e+19,Desire_1.4478627621185362e+19_Eat,want_to
Person_1.3317118788676487e+19,Desire_1.3317118788676487e+19_Shop,want_to
Person_1.3886716428090198e+19,Desire_1.3886716428090198e+19_Eat,want_to
Person_2.510617954378842e+18,Desire_2.510617954378842e+18_Shop,want_to
Person_1.5454179178424496e+19,Desire_1.5454179178424496e+19_Eat,want_to
Person_4.2747387929120256e+17,Desire_4.2747387929120256e+17_Errands,want_to
Person_1.4740232497404672e+19,Desire_1.4740232497404672e+19_Eat,want_to
Person_1.4403995405459108e+19,Desire_1.4403995405459108e+19_Recreation,want_to
Person_1.208845667961916e+19,Desire_1.208845667961916e+19_Shop,want_to
Person_5.41129307265518e+18,Desire_5.41129307265518e+18_Shop,want_to
Person_1.0133671356635896e+19,Desire_1.0133671356635896e+19_Eat,want_to
Person_1.69293525929615e+19,Desire_1.69293525929615e+19_Shop,want_to
Person_2.4606057464208845e+18,Desire_2.4606057464208845e+18_Recreation,want_to
Person_1.609831736707981e+19,Desire_1.609831736707981e+19_Eat,want_to
Person_1.0290275950066264e+19,Desire_1.0290275950066264e+19_Eat,want_to
Person_4.607273830706455e+18,Desire_4.607273830706455e+18_Shop,want_to
Person_3.2841931220536776e+18,Desire_3.2841931220536776e+18_Shop,want_to
Person_9.653345123266253e+18,Desire_9.653345123266253e+18_Recreation,want_to
Person_6.634131282441313e+17,Desire_6.634131282441313e+17_Shop,want_to
Person_1.5479920568582528e+18,Desire_1.5479920568582528e+18_Recreation,want_to
Person_1.2899604065349563e+18,Desire_1.2899604065349563e+18_Shop,want_to
Person_3.924244637765218e+18,Desire_3.924244637765218e+18_Eat,want_to
Person_7.020075904508951e+18,Desire_7.020075904508951e+18_Recreation,want_to
Person_1.413796906731422e+19,Desire_1.413796906731422e+19_Errands,want_to
Person_1.0553683590340026e+19,Desire_1.0553683590340026e+19_Errands,want_to
Person_1.4745117651548807e+19,Desire_1.4745117651548807e+19_Eat,want_to
Person_1.6081067727313678e+19,Desire_1.6081067727313678e+19_Recreation,want_to
Person_1.5970483692108474e+19,Desire_1.5970483692108474e+19_Shop,want_to
Person_7.987313088284036e+18,Desire_7.987313088284036e+18_Eat,want_to
Person_3.145828470374291e+18,Desire_3.145828470374291e+18_Shop,want_to
Person_1.1589135015832828e+19,Desire_1.1589135015832828e+19_Shop,want_to
Person_8.245917085904045e+18,Desire_8.245917085904045e+18_Shop,want_to
Person_2.526453435318128e+18,Desire_2.526453435318128e+18_Errands,want_to
Person_2.761999862810969e+18,Desire_2.761999862810969e+18_Eat,want_to
Person_2.4823091468636483e+18,Desire_2.4823091468636483e+18_Shop,want_to
Person_1.6167971072488088e+19,Desire_1.6167971072488088e+19_Errands,want_to
Person_1.0742300057858611e+19,Desire_1.0742300057858611e+19_School,want_to
Person_6.028048422074018e+18,Desire_6.028048422074018e+18_Shop,want_to
Person_1.3638007437656762e+19,Desire_1.3638007437656762e+19_Eat,want_to
Person_6.089876816686373e+18,Desire_6.089876816686373e+18_Eat,want_to
Person_5.72696111255003e+18,Desire_5.72696111255003e+18_Eat,want_to
Person_2.6239099567055155e+18,Desire_2.6239099567055155e+18_Errands,want_to
Person_1.2675860501333885e+19,Desire_1.2675860501333885e+19_Recreation,want_to
Person_2.641154609341569e+18,Desire_2.641154609341569e+18_Shop,want_to
Person_1.1053492097583968e+19,Desire_1.1053492097583968e+19_School,want_to
Person_8.152831461701068e+18,Desire_8.152831461701068e+18_Shop,want_to
Person_1.5290866003409764e+19,Desire_1.5290866003409764e+19_Shop,want_to
Person_6.067705709269845e+18,Desire_6.067705709269845e+18_Errands,want_to
Person_9.853805892330131e+18,Desire_9.853805892330131e+18_Eat,want_to
Person_5.466848732032353e+18,Desire_5.466848732032353e+18_Recreation,want_to
Person_5.144039827634586e+18,Desire_5.144039827634586e+18_Eat,want_to
Person_9.127307500399734e+18,Desire_9.127307500399734e+18_Shop,want_to
Person_7.492082621696762e+18,Desire_7.492082621696762e+18_Other,want_to
Person_1.4213593359902308e+19,Desire_1.4213593359902308e+19_Other,want_to
Person_1.1382766689615403e+19,Desire_1.1382766689615403e+19_Eat,want_to
Person_9.269974523336714e+18,Desire_9.269974523336714e+18_Shop,want_to
Person_1.2935987586602449e+19,Desire_1.2935987586602449e+19_Eat,want_to
Person_6.591370053444356e+18,Desire_6.591370053444356e+18_Shop,want_to
Person_1.5679480203241796e+19,Desire_1.5679480203241796e+19_Shop,want_to
Person_1.250638459476621e+19,Desire_1.250638459476621e+19_Eat,want_to
Person_5.749553361659547e+18,Desire_5.749553361659547e+18_Shop,want_to
Person_1.255081492635327e+19,Desire_1.255081492635327e+19_Eat,want_to
Person_1.776041642877362e+19,Desire_1.776041642877362e+19_Errands,want_to
Person_3.6879203884944886e+18,Desire_3.6879203884944886e+18_Eat,want_to
Person_1.0042779863523529e+19,Desire_1.0042779863523529e+19_Eat,want_to
Person_2.320230294610451e+18,Desire_2.320230294610451e+18_Shop,want_to
Person_1.4523926379001434e+18,Desire_1.4523926379001434e+18_Errands,want_to
Person_3.1260396308750643e+18,Desire_3.1260396308750643e+18_Shop,want_to
Person_1.5663972210261582e+19,Desire_1.5663972210261582e+19_Errands,want_to
Person_1.3130927318655089e+19,Desire_1.3130927318655089e+19_School,want_to
Person_1.5621741157525166e+19,Desire_1.5621741157525166e+19_Shop,want_to
Person_7.002558450787813e+18,Desire_7.002558450787813e+18_Shop,want_to
Person_4.552508868169424e+18,Desire_4.552508868169424e+18_Eat,want_to
Person_1.56195999208817e+18,Desire_1.56195999208817e+18_Eat,want_to
Person_8.440089706747276e+17,Desire_8.440089706747276e+17_Shop,want_to
Person_5.395304986359441e+18,Desire_5.395304986359441e+18_Errands,want_to
Person_9.910068100218776e+18,Desire_9.910068100218776e+18_Eat,want_to
Person_1.0670756489458664e+18,Desire_1.0670756489458664e+18_Eat,want_to
Person_7.564782249592764e+17,Desire_7.564782249592764e+17_Errands,want_to
Person_2.7383680936404244e+18,Desire_2.7383680936404244e+18_Eat,want_to
Person_3.296436594150445e+17,Desire_3.296436594150445e+17_Recreation,want_to
Person_1.5406046936723917e+19,Desire_1.5406046936723917e+19_Recreation,want_to
Person_1.0980550371115908e+18,Desire_1.0980550371115908e+18_Shop,want_to
Person_1.3654990370068865e+19,Desire_1.3654990370068865e+19_Shop,want_to
Person_1.1258779183672846e+19,Desire_1.1258779183672846e+19_Recreation,want_to
Person_4.759858339645782e+18,Desire_4.759858339645782e+18_Eat,want_to
Person_1.115106951799119e+19,Desire_1.115106951799119e+19_Shop,want_to
Person_5.09850635689209e+17,Desire_5.09850635689209e+17_Errands,want_to
Person_1.407546735117838e+19,Desire_1.407546735117838e+19_Eat,want_to
Person_7.206571139506577e+18,Desire_7.206571139506577e+18_Eat,want_to
Person_3.0242588970131256e+18,Desire_3.0242588970131256e+18_Shop,want_to
Person_5.233321194342665e+18,Desire_5.233321194342665e+18_Eat,want_to
Person_6.560869858584433e+18,Desire_6.560869858584433e+18_Shop,want_to
Person_6.762155440608415e+18,Desire_6.762155440608415e+18_Shop,want_to
Person_3.653712829653903e+18,Desire_3.653712829653903e+18_Shop,want_to
Person_1.5999021937170268e+19,Desire_1.5999021937170268e+19_Eat,want_to
Person_1.1866901592344386e+19,Desire_1.1866901592344386e+19_Shop,want_to
Person_1.3363185920642173e+19,Desire_1.3363185920642173e+19_Shop,want_to
Person_2.404445282701026e+18,Desire_2.404445282701026e+18_Errands,want_to
Person_1.3485976855101893e+19,Desire_1.3485976855101893e+19_Eat,want_to
Person_1.4515790359064062e+19,Desire_1.4515790359064062e+19_Eat,want_to
Person_5.41013151545254e+18,Desire_5.41013151545254e+18_Eat,want_to
Person_5.845723563320323e+17,Desire_5.845723563320323e+17_Errands,want_to
Person_1.0921156671525482e+19,Desire_1.0921156671525482e+19_Eat,want_to
Person_1.30039224887858e+19,Desire_1.30039224887858e+19_Eat,want_to
Person_7.781808491801426e+18,Desire_7.781808491801426e+18_Eat,want_to
Person_9.855152622413636e+18,Desire_9.855152622413636e+18_Errands,want_to
Person_2.975366532520694e+18,Desire_2.975366532520694e+18_Recreation,want_to
Person_1.012494709850756e+17,Desire_1.012494709850756e+17_Other,want_to
Person_3.2743890445178307e+18,Desire_3.2743890445178307e+18_Eat,want_to
Person_4.650437803877758e+18,Desire_4.650437803877758e+18_Errands,want_to
Person_2.6778136656303657e+18,Desire_2.6778136656303657e+18_Shop,want_to
Person_1.0974055604146629e+19,Desire_1.0974055604146629e+19_Eat,want_to
Person_5.158516427673431e+18,Desire_5.158516427673431e+18_Eat,want_to
Person_1.3551435632772106e+19,Desire_1.3551435632772106e+19_Errands,want_to
Person_1.105253604901669e+19,Desire_1.105253604901669e+19_Eat,want_to
Person_1.8120661837833497e+19,Desire_1.8120661837833497e+19_Recreation,want_to
Person_6.771769395675426e+18,Desire_6.771769395675426e+18_Errands,want_to
Person_7.669664760400075e+18,Desire_7.669664760400075e+18_Eat,want_to
Person_1.5787842096437197e+19,Desire_1.5787842096437197e+19_Eat,want_to
Person_4.5287106197846646e+18,Desire_4.5287106197846646e+18_Eat,want_to
Person_9.727996438542682e+18,Desire_9.727996438542682e+18_Eat,want_to
Person_3.572742756894145e+18,Desire_3.572742756894145e+18_Errands,want_to
Person_2.9006388142003994e+18,Desire_2.9006388142003994e+18_Eat,want_to
Person_1.7071755562873104e+19,Desire_1.7071755562873104e+19_Errands,want_to
Person_2.858367056987011e+18,Desire_2.858367056987011e+18_Shop,want_to
Person_1.486840526574811e+19,Desire_1.486840526574811e+19_Eat,want_to
Person_8.318221787982535e+18,Desire_8.318221787982535e+18_Recreation,want_to
Person_5.885596422118945e+18,Desire_5.885596422118945e+18_Eat,want_to
Person_1.61461003726572e+19,Desire_1.61461003726572e+19_Eat,want_to
Person_1.1295919025447256e+19,Desire_1.1295919025447256e+19_Shop,want_to
Person_8.410755839715186e+18,Desire_8.410755839715186e+18_Shop,want_to
Person_1.524899473841741e+19,Desire_1.524899473841741e+19_Shop,want_to
Person_1.3300598421975144e+19,Desire_1.3300598421975144e+19_Shop,want_to
Person_2.801349855295783e+18,Desire_2.801349855295783e+18_Eat,want_to
Person_7.111596322557911e+18,Desire_7.111596322557911e+18_Eat,want_to
Person_2.978020483030418e+18,Desire_2.978020483030418e+18_School,want_to
Person_8.961598713339646e+18,Desire_8.961598713339646e+18_Shop,want_to
Person_1.3516471981907266e+19,Desire_1.3516471981907266e+19_Eat,want_to
Person_1.4766628431902277e+18,Desire_1.4766628431902277e+18_Shop,want_to
Person_2.8288335881442723e+17,Desire_2.8288335881442723e+17_Errands,want_to
Person_2.328313746614015e+18,Desire_2.328313746614015e+18_Eat,want_to
Person_8.576114055105629e+18,Desire_8.576114055105629e+18_Errands,want_to
Person_8.920060703279704e+18,Desire_8.920060703279704e+18_Eat,want_to
Person_4.4022541144325965e+17,Desire_4.4022541144325965e+17_Shop,want_to
Person_1.60817378634579e+18,Desire_1.60817378634579e+18_Eat,want_to
Person_1.761515239454696e+19,Desire_1.761515239454696e+19_Eat,want_to
Person_1.728373018650593e+18,Desire_1.728373018650593e+18_Eat,want_to
Person_8.469840666440331e+18,Desire_8.469840666440331e+18_Recreation,want_to
Person_2.783161335771998e+18,Desire_2.783161335771998e+18_Eat,want_to
Person_9.19771649663712e+18,Desire_9.19771649663712e+18_Recreation,want_to
Person_2.825517756453221e+18,Desire_2.825517756453221e+18_Eat,want_to
Person_1.2892728353283916e+19,Desire_1.2892728353283916e+19_Eat,want_to
Person_5.521012406663763e+18,Desire_5.521012406663763e+18_Eat,want_to
Person_8.435687719770904e+18,Desire_8.435687719770904e+18_Shop,want_to
Person_1.3794151374348118e+19,Desire_1.3794151374348118e+19_Shop,want_to
Person_1.5302156277439834e+19,Desire_1.5302156277439834e+19_Errands,want_to
Person_1.4353815298157594e+18,Desire_1.4353815298157594e+18_Shop,want_to
Person_1.7641833399874224e+19,Desire_1.7641833399874224e+19_Shop,want_to
Person_1.686988551330379e+19,Desire_1.686988551330379e+19_Recreation,want_to
Person_1.5345821358740976e+19,Desire_1.5345821358740976e+19_Eat,want_to
Person_1.6524996103007896e+19,Desire_1.6524996103007896e+19_Errands,want_to
Person_1.721902108724227e+19,Desire_1.721902108724227e+19_Eat,want_to
Person_1.3246487824981234e+19,Desire_1.3246487824981234e+19_Eat,want_to
Person_1.733158023767403e+19,Desire_1.733158023767403e+19_Eat,want_to
Person_1.6564546542542072e+19,Desire_1.6564546542542072e+19_Eat,want_to
Person_1.2156345244006498e+19,Desire_1.2156345244006498e+19_Recreation,want_to
Person_1.1867580147380906e+19,Desire_1.1867580147380906e+19_Shop,want_to
Person_1.7356393954669853e+19,Desire_1.7356393954669853e+19_Eat,want_to
Person_1.5837924531003066e+19,Desire_1.5837924531003066e+19_Recreation,want_to
Person_1.444429185266725e+19,Desire_1.444429185266725e+19_Recreation,want_to
Person_6.076699645053753e+18,Desire_6.076699645053753e+18_Eat,want_to
Person_1.6437831181582635e+19,Desire_1.6437831181582635e+19_Other,want_to
Person_1.041207061518097e+19,Desire_1.041207061518097e+19_Eat,want_to
Person_5.7564891226093786e+17,Desire_5.7564891226093786e+17_Eat,want_to
Person_3.12343037821503e+18,Desire_3.12343037821503e+18_Errands,want_to
Person_1.5162459324131446e+18,Desire_1.5162459324131446e+18_Errands,want_to
Person_1.1878870600560988e+19,Desire_1.1878870600560988e+19_Shop,want_to
Person_5.970434599400098e+18,Desire_5.970434599400098e+18_Errands,want_to
Person_8.668097644323609e+18,Desire_8.668097644323609e+18_Recreation,want_to
Person_1.2045614433098242e+19,Desire_1.2045614433098242e+19_School,want_to
Person_1.3918527483414604e+19,Desire_1.3918527483414604e+19_Eat,want_to
Person_1.312385284479524e+18,Desire_1.312385284479524e+18_Shop,want_to
Person_1.380610249077884e+19,Desire_1.380610249077884e+19_Recreation,want_to
Person_1.637162219332371e+19,Desire_1.637162219332371e+19_Recreation,want_to
Person_2.487956454051152e+18,Desire_2.487956454051152e+18_Eat,want_to
Person_1.273930442360301e+19,Desire_1.273930442360301e+19_Eat,want_to
Person_3.564720168942971e+18,Desire_3.564720168942971e+18_Eat,want_to
Person_1.1276916464690977e+19,Desire_1.1276916464690977e+19_Shop,want_to
Person_8.03764507597447e+17,Desire_8.03764507597447e+17_Shop,want_to
Person_2.6255105675342577e+18,Desire_2.6255105675342577e+18_School,want_to
