model_name,desire,num_sample,loss,age_error,income_error,best_params
multilayer_perceptron,Eat,18000,0.9831719848898097,0.17886463688987775,0.2025978079826296,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001}"
multilayer_perceptron,Eat,20000,0.9827672445308472,0.17744720479972373,0.18481950728914584,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001}"
proposed_method,Eat,0,1.8086518440580184,0.16390198523420338,0.12077990869521844,
proposed_method,Eat,2000,1.2598257361310339,0.0987733387858341,0.07148039926035779,
proposed_method,Eat,4000,1.1742704713414704,0.08821386363547222,0.06084632908007891,
proposed_method,Eat,6000,1.1385229771108463,0.09382809912902894,0.06674706723524927,
proposed_method,Eat,8000,1.143327392208345,0.09666381024319619,0.0728208111283793,
proposed_method,Eat,10000,1.0875665855306464,0.114079935238291,0.06460667301788796,
proposed_method,Eat,12000,1.2376218137721806,0.10357508818617561,0.06529481646020906,
proposed_method,Eat,14000,1.1704769996216984,0.09491419217054557,0.06425143028965012,
proposed_method,Eat,16000,1.0992975568263714,0.085621619341415,0.06277822476061269,
proposed_method,Eat,18000,1.1768404979183962,0.07850189312435005,0.0783548205276124,
proposed_method,Eat,20000,1.1952246340267798,0.10012062957367679,0.07315049328634762,
