model_name,desire,num_sample,loss,age_group_error,income_group_error,household_size_error,vehicles_error,family_structure_error,mean_error,age_group_kl,income_group_kl,household_size_kl,vehicles_kl,family_structure_kl,mean_kl,best_params
randomforest,Eat,2000,1.305390642746419,0.1586187903426982,13.655433113931673,0.16260924927154505,10.969399024379257,0.13565012081824976,14.289147233832097,0.1510597539141429,10.109695169392069,0.1602331353649644,6.263860492879686,0.15363420994232008,11.057507006882956,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,4000,1.2911192395115323,0.1723719861049606,19.07274117996741,0.17268766230215124,17.256388291837258,0.15536333357408116,21.767897427072242,0.16760310843083853,7.447137770461631,0.17108352288211381,8.201422890008663,0.16782192265882906,14.74911751186944,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,6000,1.2906557887458647,0.17217946561182115,21.390283312846194,0.17469336264424495,21.496215810874883,0.16360639882526498,22.136857941078237,0.176680839829357,11.179495687766561,0.17833770037067148,8.41611269388086,0.1730995534562719,16.923793089289347,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,8000,1.2897575035357398,0.18617140227774195,15.569031160183425,0.1885657409865115,20.560389673460854,0.17357513983145817,23.650946855235507,0.18339388460112369,11.5412712018893,0.1907270951360176,9.537474321554278,0.1844866525665706,16.171822642464672,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,10000,1.2846025851135983,0.18626477897647944,22.456268461163297,0.19234494394984836,23.245947569767882,0.1870408093436631,24.082943507493376,0.1888692385084684,11.917424989439748,0.19259696262707976,12.658781986741339,0.1894233466811078,18.872273302921126,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,12000,1.2789646784473998,0.1823573823408133,16.211212162392044,0.19124741711132376,18.075691866329198,0.1814663723904137,20.590558212977626,0.18668603105988646,8.741459283221412,0.18883324374149446,8.84159112204619,0.18611808932878632,14.492102529393293,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,14000,1.2819197182931172,0.18533278036650433,21.76393250217562,0.1946194926705516,20.413419701883313,0.18326361031279825,24.59414732540449,0.1907543523196698,9.574022757189281,0.19343727299181593,9.577331782009782,0.18948150173226797,17.1845708137325,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
randomforest,Eat,16000,1.2803954296063988,0.19061167822879121,25.136922719424913,0.19912633888223977,24.704028722161333,0.19036150774881663,26.849174198633772,0.19225418329344962,17.671743958967223,0.1972830047756884,11.82869239176214,0.1939273425857971,21.238112398189877,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
randomforest,Eat,18000,1.2780416634929816,0.19371360627061207,25.686849551063865,0.20101781621857648,21.86962536450983,0.19177565059226948,26.859235622525482,0.1965763639819827,11.562097109024892,0.19955659014369612,11.626917971551105,0.19652800544142737,19.520945123735036,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,20000,1.277181718538582,0.19366059961994656,18.152241508463725,0.2011673342069932,19.61389911560934,0.1921922346967368,26.35335575719577,0.19597818161999417,11.348458714425062,0.19985829426198082,11.591561775599308,0.1965713288811303,17.41190337425864,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
xgboost,Eat,2000,1.5711350816038214,0.16137756302727277,14.961200332648367,0.1710621951086104,18.262280655893964,0.13460330703278406,15.5167369980034,0.1501791829131879,13.491365859788989,0.16146224245115434,11.146070458244447,0.1557368981066019,14.675530860915837,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
xgboost,Eat,4000,1.5721865497623826,0.1879782850893379,29.159515795934137,0.19091604281687133,39.7986422842689,0.17914767848873367,36.43926598699816,0.1928456070530337,17.265719205526437,0.19399740302704382,18.396743749037697,0.18897700329500408,28.21197740435307,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
xgboost,Eat,6000,1.5721787539246113,0.18422716104808298,29.33823007057179,0.188341494259165,30.319385193900743,0.175632789651077,23.449132165618554,0.19265391289038167,12.551177824749795,0.1930458369253812,9.820476499837481,0.18678023895481757,21.095680350935673,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
xgboost,Eat,8000,1.5723751541158562,0.20254163620131546,31.821963961196815,0.2027545337314444,37.45597821501022,0.19636737690255593,40.25085556064085,0.2023870982819747,12.836115720513936,0.2051483463873064,17.930584309668575,0.20183979830091933,28.059099553406078,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.8}"
xgboost,Eat,10000,1.572838337207262,0.2061349414996673,53.37378960324981,0.2067118280830003,49.55771544128601,0.2026432997257847,61.77057410247919,0.20531325603711847,30.713047270103306,0.20595348255397228,28.201267485633657,0.2053513615799086,44.723278780550395,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
