model_name,desire,num_sample,loss,age_group_error,income_group_error,household_size_error,vehicles_error,family_structure_error,mean_error,age_group_kl,income_group_kl,household_size_kl,vehicles_kl,family_structure_kl,mean_kl,best_params
randomforest,Eat,100,1.0467701539482597,0.16712648624924317,0.09235313681029217,0.13330577051167056,0.13096758383383034,0.11815053591831515,0.12838070266467028,0.42708416538473976,0.07795119301371535,0.1455846047710745,0.5298137015437476,0.1130508837073061,0.2586969096841166,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
randomforest,Eat,200,1.046379738541609,0.15189631235768894,0.12432526239999736,0.13421596774206054,0.1227480942011423,0.10432593902283138,0.1275023151447441,1.5785810831668259,0.12046520953796491,0.11746546681248222,0.6000097722831252,0.09059980482870168,0.5014242673258199,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10}"
randomforest,Eat,300,1.0428451154378289,0.13283098519865985,0.1039188801607115,0.155945615671457,0.12053570267879747,0.13833393667630528,0.13031302407718623,1.4802258208617416,0.08779697523175219,0.29797746455494994,1.1981949602991753,0.13676144973041615,0.6401913341356071,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,400,1.0382038211536062,0.12038288051237563,0.07973530662466151,0.13625131772896962,0.11601900610912298,0.14278003816451962,0.11903370982792986,0.2459839482392427,0.05400392777450275,0.9020558102396973,2.207791444718108,0.13106696067252743,0.7081804183288156,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,500,1.0327351951158508,0.1142369432451636,0.10015659525824312,0.13401450594256148,0.12589772998745563,0.101830279976229,0.11522721088193055,0.7470674510835851,0.08459677980606592,0.3057208010816974,2.200179230376237,0.06315281892075418,0.6801434162536679,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,600,1.0337539974393208,0.11744539574635214,0.09932403725804141,0.14163635543794115,0.1351912800110512,0.12133614291492512,0.12298664227366221,0.09333172016870764,0.06839480240624138,0.2878075809484102,0.3540047765889677,0.09824767557266133,0.18035731113699766,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,700,1.0284912000827866,0.11652530292880574,0.10023987762860283,0.13367632521074146,0.13031477022328714,0.10662287709591117,0.11747583061746966,0.09610101679910288,0.06838728743413983,0.14438073260895742,0.22235656123062097,0.09161482887393352,0.12456808538935094,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,800,1.0257675109225592,0.11425652969376436,0.10131522800778653,0.13012743017647233,0.1310116963036731,0.10139098900644303,0.11562037463762787,0.08967993363396767,0.065165838944519,0.20584682321911604,0.5639417347240824,0.08281783600061106,0.20149043330445923,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,900,1.0232409139247323,0.13125131243988028,0.12336977456933039,0.13861123160681263,0.14899120312544376,0.10850007241709503,0.1301447188317124,0.13571080860497564,0.11422530358281233,0.19726970348629072,0.616180474381933,0.07758788417116924,0.22819483484543618,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,1000,1.0261361538241787,0.1281812759659798,0.12867895488039252,0.13118003845064327,0.15346650926407202,0.12208161419997987,0.1327176785522135,0.09579788150874775,0.1122782328732476,0.14261098347994464,0.6199760166165752,0.09712869194436205,0.21355836128457545,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
