model_name,desire,num_sample,loss,age_group_error,income_group_error,household_size_error,vehicles_error,family_structure_error,mean_error,age_group_kl,income_group_kl,household_size_kl,vehicles_kl,family_structure_kl,mean_kl,best_params
randomforest,Eat,2000,1.305390642746419,0.1586187903426982,0.16260924927154505,0.13565012081824976,0.1510597539141429,0.1602331353649644,0.15363420994232008,2.1167495127813525,1.7201761630565486,1.8802609305269813,2.3804518301641795,1.4954918206942476,1.918626051444662,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,4000,1.2911192395115323,0.1723719861049606,0.17268766230215124,0.15536333357408116,0.16760310843083853,0.17108352288211381,0.16782192265882906,2.9455704204882305,2.66909914133649,2.8446121819579413,1.7692047355044533,1.9435973716703894,2.4344167701915014,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,6000,1.2906557887458647,0.17217946561182115,0.17469336264424495,0.16360639882526498,0.176680839829357,0.17833770037067148,0.1730995534562719,3.291416207891049,3.315385884924096,2.896044685695615,2.640176108719725,2.000363334000158,2.8286772442461285,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,8000,1.2897575035357398,0.18617140227774195,0.1885657409865115,0.17357513983145817,0.18339388460112369,0.1907270951360176,0.1844866525665706,2.4293839244559536,3.1889654807186756,3.1215838113570795,2.7312483666724767,2.2844851787521976,2.7511333523912764,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,10000,1.2846025851135983,0.18626477897647944,0.19234494394984836,0.1870408093436631,0.1888692385084684,0.19259696262707976,0.1894233466811078,3.4781715788261955,3.5986300596722858,3.1768280121276047,2.824732301531313,3.0011922512022733,3.215910840671935,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,12000,1.2789646784473998,0.1823573823408133,0.19124741711132376,0.1814663723904137,0.18668603105988646,0.18883324374149446,0.18611808932878632,2.5325171332502743,2.823166379451003,2.731751728257258,2.0949403375341697,2.114823092505509,2.459439734199643,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,14000,1.2819197182931172,0.18533278036650433,0.1946194926705516,0.18326361031279825,0.1907543523196698,0.19343727299181593,0.18948150173226797,3.3660773838753566,3.1938936292722317,3.248473041698898,2.301441554522833,2.2966789126027556,2.8813129043944152,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
randomforest,Eat,16000,1.2803954296063988,0.19061167822879121,0.19912633888223977,0.19036150774881663,0.19225418329344962,0.1972830047756884,0.1939273425857971,9.397937855960311,9.690925761708934,9.497480921980179,11.264241144916763,7.539062596286967,9.47792965617063,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
randomforest,Eat,18000,1.2780416634929816,0.19371360627061207,0.20101781621857648,0.19177565059226948,0.1965763639819827,0.19955659014369612,0.19652800544142737,9.520162258220266,8.574156417083543,9.402126345480832,7.577549214011152,7.3472007649082745,8.484238999940812,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
randomforest,Eat,20000,1.277181718538582,0.19366059961994656,0.2011673342069932,0.1921922346967368,0.19597818161999417,0.19985829426198082,0.1965713288811303,7.208608160769731,7.645077926895248,9.349590362317592,7.43779333334552,7.31890688100856,7.79199533286733,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
xgboost,Eat,2000,1.5711350816038214,0.16137756302727277,0.1710621951086104,0.13460330703278406,0.1501791829131879,0.16146224245115434,0.1557368981066019,2.3205575877989775,2.836096720291693,2.036914401258366,3.167804817480902,2.622038356076385,2.5966823765812648,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
xgboost,Eat,4000,1.5721865497623826,0.1879782850893379,0.19091604281687133,0.17914767848873367,0.1928456070530337,0.19399740302704382,0.18897700329500408,10.43769343513324,12.83056576443636,11.826941211543536,10.877521394319139,10.636090313865742,11.321762423859603,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
xgboost,Eat,6000,1.5721787539246113,0.18422716104808298,0.188341494259165,0.175632789651077,0.19265391289038167,0.1930458369253812,0.18678023895481757,4.518898984303184,4.674469260028541,3.083512432058518,2.9830966429655335,2.351454285489313,3.5222863209690183,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
xgboost,Eat,8000,1.5723751541158562,0.20254163620131546,0.2027545337314444,0.19636737690255593,0.2023870982819747,0.2051483463873064,0.20183979830091933,4.912705623892382,5.762757132790562,5.26960134519507,3.0797147527772055,4.2647285027772215,4.657901471486488,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.8}"
xgboost,Eat,10000,1.572838337207262,0.2061349414996673,0.2067118280830003,0.2026432997257847,0.20531325603711847,0.20595348255397228,0.2053513615799086,15.229546490192687,14.49215262076694,15.986178290018374,14.984771560249222,13.378494245875673,14.814228641420579,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
